Date,AGG,FPURX,SPY,VWELX
2015-04-20,111.58999633789062,22.200000762939453,209.85000610351562,39.869998931884766
2015-04-21,111.47000122070312,22.200000762939453,209.60000610351562,39.79999923706055
2015-04-22,111.13999938964844,22.239999771118164,210.6300048828125,39.86000061035156
2015-04-23,111.30999755859375,22.280000686645508,211.16000366210938,39.939998626708984
2015-04-24,111.5,22.290000915527344,211.64999389648438,40.029998779296875
2015-04-27,111.54000091552734,22.190000534057617,210.77000427246094,39.959999084472656
2015-04-28,111.11000061035156,22.15999984741211,211.44000244140625,40.060001373291016
2015-04-29,110.86000061035156,22.100000381469727,210.57000732421875,39.939998626708984
2015-04-30,110.86000061035156,21.920000076293945,208.4600067138672,39.68000030517578
2015-05-01,110.33999633789062,22.06999969482422,210.72000122070312,39.849998474121094
