Date,FBAKX,FXAIX
2015-06-29,23.149999618530273,72.95999908447266
2015-06-30,23.209999084472656,73.16000366210938
2015-07-01,23.200000762939453,73.23999786376953
2015-07-02,23.209999084472656,73.20999908447266
2015-07-06,23.149999618530273,72.93000030517578
2015-07-07,23.229999542236328,73.37999725341797
2015-07-08,22.950000762939453,72.18000030517578
2015-07-09,22.979999542236328,72.33999633789062
2015-07-10,23.1299991607666,73.2300033569336
2015-07-13,23.309999465942383,74.05000305175781
2015-07-14,23.40999984741211,74.37999725341797
2015-07-15,23.399999618530273,74.33000183105469
2015-07-16,23.530000686645508,74.91999816894531
2015-07-17,23.559999465942383,75.01000213623047
2015-07-20,23.549999237060547,75.06999969482422
2015-07-21,23.510000228881836,74.75
2015-07-22,23.479999542236328,74.58000183105469
2015-07-23,23.420000076293945,74.16000366210938
